Stock #,RapNet Lot #,Publish,Availability,Item Title,Description,Type,Style,Category,Condition,Shipping from,Price,Currency,Terms,MSRP,Available for Memo,No. Items in Stock,Minimum order,Free Worldwide Shipping,Delivery Time,Delivery Location,Delivery Location Price,Delivery Location Currency,Delivery Location Terms,Delivery Location MSRP,Delivery Location Time,Ring Size,Keywords,Brand,Designer,Jewelry Quality,Setting,Jewelry Weight,Metal Type,Metal Karat,Measurements,Jewelry Lab Name,Jewelry Lab Report,Gemstone Type,Gemstone Shape,Gemstone carat,Gemstone Description,Gemstone Lab,Gem Lab Report #,Gemstone Measurements,Gemstone Quantity,Gemstone Treatment,Gemstone Treatment Type,Gemstone Comment,Gemstone Synthetic,Supplier Comment,Manufacture Date,Availability comment,Image Type,Image File Name,Image Title,URL Type,URL Title,URL Link,Document Type,Document Filename,Document title
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sapphire,Oval,3.56,,Other,,,1,,Heat Treated,,no,,,,,,,,,,,,
HJRNG264,393488,yes,yes,Color Gold & Diamond Ring in 18K,"12pcs Round Brilliant Diamonds 0.26Cts
18K 10.64gms",Rings,"Engagement Ring, Bridal, Simple Band, Fashion, Cluster, Cocktail, Women","New, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth, Set, Engagement",New,Hong Kong,2200,USD,"Cash Advance, COD",2500,no,1,1,no,2,,,,,,,,"Diamond, designer, Ring, Handmade, Jewellery, Jewels, Fashion",,VN Diamonds,"Luxury, Fine",,10.66,"Yellow Gold, White Gold, Rose Gold, Gold",18K,,,,Diamond,Round,0.26,,None,,,12,,,,no,"Color Gold & Diamond Ring in 18K
12pcs Round Brilliant Diamonds 0.26Cts
18K 10.64gms",,,,Multi Color Blooming Flower Pendent II.jpg,Designer Gold & Diamond RIng,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
HJRNG265,393489,yes,yes,Color Gold & Diamond Ring in 18K,"17pcs Round Brilliant Diamonds 0.28Cts
18K 10.75gms",Rings,"Engagement Ring, Bridal, Fashion, Cluster, Cocktail, Women","New, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,2200,USD,"Cash Advance, COD",2500,no,1,1,no,2,,,,,,,7,"Diamond, Ring, Jewellery, Jewels, Fancy, Handmade, Designer, Gold",,,"Luxury, Fine",,10.77,"Yellow Gold, White Gold, Rose Gold, Gold",18K,,,,Diamond,Round,0.28,,None,,,17,,,,no,"Color Gold & Diamond Ring in 18K
17pcs Round Brilliant Diamonds 0.28Cts
18K 10.75gms",,,,Multi Color Flower Pendent II.jpg,Fancy Gold Ring,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
HJRNG160,339347,yes,yes,3.10Cts Collumbian Emerald Vivid Green Muzo Minor GRS Cert Men's Ring,"3.10Cts Collumbian Emerald Vivid Green Muzo Minor GRS Cert Men's Ring
Set in 18K White Gold with Princess Cut Diamonds",Rings,"Engagement Ring, Fashion, Men",New,New,Hong Kong,40000,USD,"Cash Advance, COD",45000,no,1,1,no,3,,,,,,,,"Emearld, Columbian, Ring, Jewellery, Men's Ring, Mens, Muzo, Investment",,VN Diamonds,"Investment, Luxury, Fine",,,Yellow Gold,18K,,,,Emerald,Emerald,3.1,,Other,,,,,Oiled,,no,"3.10Cts Columbian Emerald Vivid Green Muzo Minor GRS
Princess Cut Diamonds on the side
Set in 18K White Gold
Men's Ring",,,,WhatsApp Image 2023-12-05 at 11.25.06_ff21e0eb.jpg,3.10Cts Columbian Emerald Ring,,,,Grading Report,3.10Cts Columbian Emerald Minor Vivid Green Muzo Green GRS Emerald Cut Ring.pdf,3.10Cts Columbian Emerald Vivid Green Minor Muzo GRS
HJPDT108,392104,yes,yes,Santa Maria Aquamarine with Diamonds & Enamel in 18K,"36pcs Round Aquamarines 5.23Cts,                                   
16pcs Round Rosecut Diamonds 2.02Cts,                         
30pcs Round Brilliant Diamonds 0.30Cts,
18K 6.30gms
",Pendants & Charms,,"New, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,10000,USD,"Cash Advance, COD",12000,no,1,1,no,3,,,,,,,,"Pendent, Diamond, Aquamarine, Santa maria, Chick, Stylish, Value for money",,VN Diamonds,"Luxury, Fine",,7.78,White Gold,18K,,,,Aquamarine,Round,2.02,,None,,,16,,,,no,"36pcs Round Aquamarines 5.23Cts,                                   
16pcs Round Rosecut Diamonds 2.02Cts,                         
30pcs Round Brilliant Diamonds 0.30Cts,
18K 6.30gms
",,,,Santa Maria Aqua Pendent II.jpg,Santa Maria Aquamarine Pendent,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aquamarine,Round,5.23,,None,,,36,,,,no,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Round,0.3,,None,,,30,,,,no,,,,,,,,,,,,
HJERG187,393244,yes,yes,Zambian Emerlad & Rosecut Diamond Earrings in 18K,"2pcs Pear Shape Zambia Emerald 5.90Cts,    
12pcs Oval Rosecut Diamonds 1.21Cts,          
6pcs Pear Rosecut Diamonds 0.28Cts,                     
84pcs Round Brilliant Diamonds 0.45Cts,
18K 3.65gms
",Earrings,"Drop, Dangle","New, Bridal, Woman's, Art Deco, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,17500,USD,"Cash Advance, COD, Credit If Approved",18500,no,1,1,no,2,,,,,,,,"Diamond, Earrings, Emerald, Pear, Rosecut, Designer, Jewellery, Handmade",,VN Diamonds,"Luxury, Fine",,5.22,White Gold,18K,,,,,,,,,,,,,,,,"2pcs Pear Shape Zambia Emerald 5.90Cts,    
12pcs Oval Rosecut Diamonds 1.21Cts,          
6pcs Pear Rosecut Diamonds 0.28Cts,                     
84pcs Round Brilliant Diamonds 0.45Cts,
18K 3.65gms
",,,,Z EM PS Earrings V.jpg,PS Zambian EM Earrings,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z EM PS Earrings IV.jpg,Zambian PS Emerald Earrings,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z EM PS Earrings II.jpg,PS Zamian EM Earrings,,,,,,
HJERG148,392495,yes,yes,Zambian Emerald & Diamond Earrings in 18K,"8pcs Oval Shape Zambian Emerald 3.70Cts,   
280pcs Round Brilliant Diamonds 1.21Cts,       
8pcs Round Brilliant Diamonds 0.07Cts,
18K 9.05gms
",Earrings,"Drop, Linear, Dangle",,New,Hong Kong,3000,USD,"Cash Advance, COD",3500,no,1,1,no,3,,,,,,,,"Emerald, Columbian, Ring, Gems, Gemstones, Gemstone Ring, ColumbianEmerald Ring, Investment, ",,VN Diamonds,"Fine, Promotional",,10.05,White Gold,18K,,,,Diamond,Round,0.07,,None,,,8,,,,no,"8pcs Oval Shape Zambian Emerald 3.70Cts,   
280pcs Round Brilliant Diamonds 1.21Cts,       
8pcs Round Brilliant Diamonds 0.07Cts,
18K 9.05gms",,,,Z EM Earrings II.jpg,Zambian Emerld Earins,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Round,1.21,,None,,,280,,,,no,,,,,Z EM Earrings IV.jpg,Zamian Emerald Earrings,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emerald,Oval,3.7,,None,,,8,,Oiled,,no,,,,,,,,,,,,
HJRNG288,400147,yes,yes,4.65Cts Tourmaline Ring with Diamonds in 18K,"1pc Radiant Afgan Tourmaline 4.65Cts,                       
8pcs Triangle Rosecut Diamonds 1.21Cts,               
8pcs Triangle Rosecut Diamonds 0.67Cts,
18K 3.51gms
",Rings,"Engagement Ring, Bridal, Fashion, Cluster, Cocktail, Women","New, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,6000,USD,"Cash Advance, COD",7000,no,1,1,no,2,,,,,,,,"Ring, Design, Designer, Tourmaline, Jewellery, handmade, Jewels, Luxury",,VN Diamonds,"Luxury, Promotional",,3.51,White Gold,18K,,,,Diamond,Trilliant,0.67,,None,,,8,,,,no,"4.65Cts Tourmaline Ring with Diamonds in 18K
1pc Radiant Afgan Tourmaline 4.65Cts,                       
8pcs Triangle Rosecut Diamonds 1.21Cts,               
8pcs Triangle Rosecut Diamonds 0.67Cts,
18K 3.51gms",,,,4.65Cts Afgan Tourmaline & Triangle Rosecut Diamond Ring.jpg,,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Trilliant,1.21,,None,,,8,,,,no,,,,,4.65Cts Afgan Tourmaline & Triangle Rosecut Diamond Ring I.jpg,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tourmaline,Cushion,4.65,,None,,,1,,,,no,,,,,,,,,,,,
HJERG268,400148,yes,yes,Triangle Diamond Designer Earrings,"2pcs Triangle Brilliant Diamond 1.48Cts,                                
112pcs Round Brilliant Diamonds 0.66Cts,
18K 8.16gms
",Earrings,"Drop, Linear, Dangle","New, Bridal, Woman's, Men's, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,8000,USD,"Cash Advance, COD",8800,no,1,1,no,,,,,,,,,"Diamond, Earrings, Handmade, Design, Designer, Jewellery, Jewels, Luxury",,VN Diamonds,,,8.16,"White Gold, Rose Gold",18K,,,,Diamond,Round,0.66,,None,,,112,,,,no,"Triangle Diamond Designer Earrings
2pcs Triangle Brilliant Diamond 1.48Cts,                                
112pcs Round Brilliant Diamonds 0.66Cts,
18K 8.16gms",,,,Triangle Earrings.jpg,Triangle Diamond Earrins,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Trilliant,1.48,,None,,,2,,,,no,,,,,Triangle Earrings I.jpg,Triangle Diamond Earrings,,,,,,
HJRNG101,392563,yes,yes,Oval Aquamarine Ring with Diamonds in 18K,"1pc Oval Shape Aquamarine 0.87Cts,               
40pcs Round Diamond 0.22Cts,                               
3pcs Mother Of Pearl 0.26Cts,
18K 5.24gms
",Rings,"Engagement Ring, Bridal, Halo, Fashion, Cluster, Cocktail, Women","New, Bridal, Woman's, Fashion Jewelry, Designer Jewelry, Youth, Set, Engagement",New,Hong Kong,1150,USD,"Cash Advance, COD",1350,no,1,1,no,3,,,,,,,7,"Oval, Gems, Aquamarine, Beryl, Designer, Jewels, Jewellery, Handmade",,VN Diamonds,"Fine, Promotional",,5.51,White Gold,18K,,,,Aquamarine,Oval,0.87,,None,,,1,,Heat Treated,,no,"Designer Aquamarine Ring Hand Crafted in 18K Gold
1pc Oval Shape Aquamarine 0.87Cts,               
40pcs Round Diamond 0.22Cts,                               
3pcs Mother Of Pearl 0.26Cts,
18K 5.24gms",,,,,,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mother of Pearl,Other,0.26,,None,,,3,,,,no,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Round,0.22,,None,,,40,,,,no,,,,,,,,,,,,
HJRNG206,328817,yes,yes,Natural Afgan Tourmaline Cocktail Ring,"Tourmaline 1pc-10.89Cts, Diamonds 60pcs-0.315Cts, 5pcs-0.096Cts, Aquamarines, Tsavorites, Rodholites 13pcs-1.11Cts, 10pcs-0.766Cts, 9pcs-1.10Cts, 11pcs-0.236Cts, 7pcs--0.29Cts
Afganistan Tourmaline, Santa Maria Aquamarines, Columbian Emeralds, Rodholite Garnets, Tsavorites
",Rings,"Engagement Ring, Halo, Side Stones, Estate, Fashion, Cluster, Cocktail, Women","New, Woman's, Fashion Jewelry, Designer Jewelry, Set",,Hong Kong,17200,USD,"Cash Advance, COD",17200,no,1,1,no,3,,,,,,,,"Ruby Ring, Burma Ruby, Vivid Red, Investment Grade, GRS, Gubelin",,VN Diamonds,Fine,,9.279,"Yellow Gold, White Gold",18K,,,,Tourmaline,Emerald,10.89,,None,,,,,,,no,"Afganistan Tourmaline, Santa Maria Aquamarines, Columbian Emeralds, Rodholite Garnets, Tsavorites.
",,,,10.89Cts Afganistan Tourmaline - Front.jpeg,10.9Cts Afgan Tourmaline With Multi Gems,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",Grading Report,10.89Cts Natural Tourmaline Vivid Green Electric Green No Treatment Guild Emerald Cut.pdf,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.89Cts Afganistan Tourmaline - Side.jpg,10.89Cts Afgan Tourmaline MultiGem Ring,,,,,,
HJBRCT132,345628,yes,yes,Natural Burma Ruby Bracelet with Diamonds halo in 18k Gold,"22pcs Oval Shape Burma Ruby 8.38Cts                                
396pcs Round Brilliant Diamonds 1.47Cts
18K White & Yellow Gold Handmade Bracelet 14.02gms GW
",Bracelets,Tennis,"New, Bridal, Woman's, Art Deco, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,12000,USD,"Cash Advance, COD",15000,no,1,1,no,5,,,,,,,,"Gems, Gemstones, Gemstone, Handmade Jewellery, Ruby, Rubies, Burma, Myanmar, Ring",,VN Diamonds,"Investment, Luxury, Fine",,14.02,"Yellow Gold, White Gold",18K,,,,Ruby,Oval,8.38,,Other,,,22,,,,no,"22pcs Oval Shape Burma Ruby 8.38Cts                                
396pcs Round Brilliant Diamonds 1.47Cts
18K White & Yellow Gold Handmade Bracelet 14.02gms GW
",,,,KellettBall59.jpg,Burma Ruby Bracelet,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OV Burma Ruby Bracelet.jpg,Oval Shape Burma Ruby Bracelet,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OV Burma Ruby Bracelet II.jpg,Oval Shape Burma Ruby Bracelet,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OV Burma Ruby Bracelet III.jpg,Burma Ruby Bracelet with Diamond Halo,,,,,,
HJNKL113,393219,yes,yes,Sri Lanka No Heat Multi Color Sapphire & Rosecut Diamond Necklace (long) in 18K,"20pcs Color No Heat Sapphire 20.22Cts,         ,
40pcs Round Rosecut Diamonds 2.93Cts,
18K 11.17gms
",Necklaces,Other Link,"New, Bridal, Woman's, Art Deco, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,17500,USD,"Cash Advance, COD, Credit If Approved",18000,no,1,1,no,3,,,,,,,,"Sapphire, Diamonds, Natural, Necklace, handmade, Designer, Jewellery, Jewels",,VN Diamonds,"Luxury, Fine, Investment",,15.8,White Gold,18K,,,,Diamond,Round,2.93,,None,,,40,,,,no,"Sri Lanka Multi Color No Heat Sapphire & Rosecut Diamonds set in 18K long necklace (handmade)
20pcs Color No Heat Sapphire 20.22Cts,         ,
40pcs Round Rosecut Diamonds 2.93Cts,
18K 11.17gms
",,,,,,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",Grading Report,20.22Cts Madagascar No Heat Multi Color Sapphire Long Necklace Guild Pear Shape.pdf,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sapphire,Pear,20.22,,None,,,20,,,,no,,,,,,,,,,,,
HJERG119,393243,yes,yes,Designer Yellow Diamond & White Rosecut Diamond Earrings in 18k,"2pcs Cushion Shape Yellow Dia 2.08Cts,                            
16pcs Rosecut Diamonds 1.81Cts,
18K 3.52gms
",Earrings,Stud,"New, Engagement, Bridal, Woman's, Designer Jewelry, Youth, Fashion Jewelry",New,Hong Kong,7500,USD,"Cash Advance, COD",8000,no,1,1,no,2,,,,,,,,,,VN Diamonds,"Luxury, Fine",,,"Yellow Gold, White Gold",18K,,,,Diamond,Cushion,2.08,,None,,,2,,,,no,"White Rosecut Diamonds with Yellow Diamonds Earrings in 18K
2pcs Cushion Shape Yellow Dia 2.08Cts,                            
16pcs Rosecut Diamonds 1.81Cts,
18K 3.52gms
",,,,2.04Cts Yellow Diamond Cushion Cut Diamond Earrings.jpeg,Designer Yellow & White Diamond Earrings,,,,,,
HJERG144,345791,yes,yes,Illusion Emerald Cut Diamond Earrings with Ruby Halo in 18K White Gold,"9pcs Illusion Emerald Cut Diamond 1.84Cts, 
9pcs Illusion Emerald Cut Diamond 1.82Cts, 
56pcs Princess Cut Ruby 6.69Cts
18K White Gold handmade Jewellery 12.33gms
",Earrings,"Drop, Hoop, Dangle","New, Bridal, Woman's, Estate, Art Deco, Fashion Jewelry, Designer Jewelry, Youth, Engagement",New,Hong Kong,13500,USD,"Cash Advance, COD",15000,no,1,1,no,2,,,,,,,,"Gems, Gemstones, Gemstone, Handmade Jewellery, Ruby, Rubies, Burma, Myanmar, Ring",,VN Diamonds,"Investment, Luxury, Fine",,12.33,White Gold,18K,,,,Diamond,Emerald,1.82,,None,,,9,,,,no,"9pcs Illusion Emerald Cut Diamond 1.84Cts, 
9pcs Illusion Emerald Cut Diamond 1.82Cts, 
56pcs Princess Cut Ruby 6.69Cts
18K White Gold handmade Jewellery 12.33gms
",,,,PieCut Emerald Earrings with Ruby.jpg,Illusion Cut Diamond Earrings with Ruby Princess Cut Halo,LandingPage,Chat with Executive to know more,"https://api.whatsapp.com/send?phone=85269731885&text=Hello,%20I%20would%20like%20to%20buy%20Diamonds/Jewelry%20-%20Message%20from%20RAPNET%20::%20Can%20you%20explain%20more%20",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diamond,Emerald,1.84,,None,,,9,,,,no,,,,,Illusion Cut Diamond Earrings with Princess Cut Ruby Halo II.jpg,PieCut Diamond Earrings with Ruby Halo,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruby,Princess,6.69,,None,,,56,,,,no,,,,,,,,,,,,
