Stock #,Availability,Stone Country Location,Lot #,Stone Type,Shape,Carat Weight,Clarity,Measurements Length,Measurements Width,Measurements Height,Origin,Treatment Type 1,Treatment Type 2,Treatment Type 3,Treatment Note,Primary Color,Color Intensity,Color Modifiers,Color Description,Color System,Color System Description,Price per Carat,Image 1 Name,Image 2 Name,Image 3 Name,Image 4 Name,Image 5 Name,Video URL,Lab 1,Report # 1,Certificate Name 1,Primary Color Lab 1,Color Intensity Lab 1,Color Modifiers Lab 1,Lab 2,Report # 2,Certificate Name 2,Primary Color Lab 2,Color Intensity Lab 2,Color Modifiers Lab 2,Lab 3,Report # 3,Certificate Name 3,Primary Color Lab 3,Color Intensity Lab 3,Color Modifiers Lab 3,Lab 4,Report # 4,Certificate Name 4,Primary Color Lab 4,Color Intensity Lab 4,Color Modifiers Lab 4,Lab 5,Report # 5,Certificate Name 5,Primary Color Lab 5,Color Intensity Lab 5,Color Modifiers Lab 5,Published,Comment,Last Update,Show High Price,Is Separable,Matched Pair Stock Number,Number Of Stones,Lot Type
VNEM209,Guaranteed Availability,Hong Kong,1137607,Emerald,Emerald Cut,2.94,Eye clean,9.78,8.49,5.47,Colombia,Oiling,,,Vivid Green Muzo Green,Green,Vivid Green,,,,Vivid Green Muzo Green,25000.0,2.93Cts 2.94Cts 3.86Cts Columbian Emerald Set.jpg,,,,,,SSEF,SSEF112859,2.94Cts Columbian Emerald Minor Muzo Green SSEF Emerald Cut.pdf,Green,Medium Green,,GRS,GRS2021-108339,2.94Cts Columbian Emerald Minor Muzo Green GRS Emerald Cut.pdf,Green,Vivid Green,Muzo Green,,,,,,,,,,,,,,,,,,,True,2.94Cts Fine Columbian Emerald Minor Vivid Green Muzo Green GRS2.94Cts Fine Columbian Emerlad Minor Medium Saturation SSEF,07/17/2026 06:32:34,False,False,VNEM210,2,Matched Pair
VNSA128C,Guaranteed Availability,Hong Kong,1137618,Sapphire,Oval,2.08,Eye clean,,,,Myanmar,None,,,,Blue,Vivid Blue,,Royal Blue,,,3800.0,,,,,,,LOTUS,,,Royal Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,07/17/2026 06:32:34,False,False,,,Single
VNRU195,Guaranteed Availability,Hong Kong,1137590,Ruby,Oval,3.55,Eye clean,10.21,7.9,4.82,Myanmar,Heated,,,,Red,Vivid Red,,Pigeon's Blood,,,13000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,07/17/2026 06:32:34,False,False,,,Single
VNRU141,Guaranteed Availability,Hong Kong,1137596,Ruby,Oval,10.21,Slightly included,14.77,10.66,7.36,Mozambique,Heated,,,,Red,Red,,,,,4500.0,10.21Cts Mozambique Heat H(b) Red GRS Cushion.jpeg,,,,,,GRS,GRS2012-080040T,10.21Cts Mozambique Heat H(b) Red GRS Cushion Shape 20190605134516_001.pdf,Red,Red,,,,,,,,,,,,,,,,,,,,,,,,,,True,"10.21Cts Natural Mozambique Ruby Red Heated GRS Cert Stone Available in Hong KongFor more details Call/WhatsApp Vipulhttp://wa.me/8526971885 ",07/17/2026 06:32:34,False,False,,,Single
VNRU157,Guaranteed Availability,Hong Kong,1165869,Ruby,Cushion,4.97,Eye clean,11.97,9.73,4.07,Myanmar,None,,,Natural No Heat,Red,Red,Red,Red,,Red,18000.0,4.97Cts Burma Mogok No Heat Red GRS Cushion Cut Pic I.jpg,4.97Cts Burma Mogok No Heat Red GRS Cushion Cut Pic III.jpg,4.97Cts Burma Mogok No Heat Red GRS Cushion Cut Pic II.jpg,,,,GRS,GRS 2018 - 038942,4.97Cts Burma Mogok No Heat Red GRS Cushion Cut.pdf,Red,Red,Red,,,,,,,,,,,,,,,,,,,,,,,,,True,,07/17/2026 06:32:34,False,False,,,Single
VNRU164,Guaranteed Availability,Hong Kong,1137576,Ruby,Oval,2.02,Eye clean,8.45,6.06,4.17,Myanmar,Heated,,,,Red,Vivid Red,,Pigeon's Blood,,,4500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,07/17/2026 06:32:34,False,False,,,Single
VNEM141,Guaranteed Availability,Hong Kong,1137611,Emerald,Pear,4.03,Eye clean,,,,Unknown,Oiling,,,,Green,Vivid Green,,,,,6500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,07/17/2026 06:32:34,False,False,,,Single
VNSA125A,Guaranteed Availability,Hong Kong,1137632,Sapphire,Oval,4.45,Eye clean,,,,Unknown,Heated,,,,Blue,Purpilish Pink,,,,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,07/17/2026 06:32:34,False,False,,,Single
VNSA125B,Guaranteed Availability,Hong Kong,1137634,Sapphire,Oval,5.2,Eye clean,,,,Unknown,Heated,,,,Blue,Pastel Blue,,,,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,07/17/2026 06:32:34,False,False,,,Single
VNRU163,Guaranteed Availability,Hong Kong,1137577,Ruby,Oval,2.03,Eye clean,8.45,6.49,3.67,Mozambique,None,,,,Red,Vivid Red,,Pigeon's Blood,,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,07/17/2026 06:32:34,False,False,,,Single
VNRU131,Guaranteed Availability,Hong Kong,1137593,Ruby,Pear,4.22,Eye clean,,,,Myanmar,Heated,,,,Red,Red,,,,,3000.0,,,,,,,GRS,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Pair,07/17/2026 06:32:34,False,False,,,Single
AKJ19,Guaranteed Availability,Hong Kong,1137603,Emerald,Emerald Cut,1.95,Eye clean,9.42,6.49,4.27,Cambodia,Oiling,,,1.95Cts Columbian Emerald,Green,Vivid Green,,,,Vivid Green,7000.0,,,,,,,GRS,,1.95Cts Columbian Emerald Minor to Moderate Vivid Green Muzo Green GRS Emerald Cut.pdf,Vivid Green,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,07/17/2026 06:32:34,False,False,,,Single
AKJ22,Guaranteed Availability,Hong Kong,1137612,Emerald,Emerald Cut,4.44,Eye clean,10.13,9.33,6.99,Unknown,Oiling,,,Insignificant Oiling,Green,Vivid Green,Vivid Green,,,Vivid Green,6800.0,4.44Cts Columbian Emerald Insignificant Intense to Vivid Green GRS Emerald Cut Pic I.jpg,,,,,,GRS,GRS2024 - 098794,4.44Cts Columbian Emerald Insignificant Intense to Vivid Green GRS Emerald Cut.pdf,Vivid Green,Vivid Green,Vivid Green,,,,,,,,,,,,,,,,,,,,,,,,,True,Muzo Green,07/17/2026 06:32:34,False,False,,,Single
AKJ12,Guaranteed Availability,Hong Kong,1137609,Emerald,Emerald Cut,3.77,Visibly included,9.44,8.63,6.91,Unknown,Oiling,,,,Green,Vivid Green,,,,,5800.0,,,,,,,GRS,,,Vivid Green,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Muzo Green,07/17/2026 06:32:34,False,False,,,Single
VNRU161,Guaranteed Availability,Hong Kong,1137589,Ruby,Oval,3.3,Eye clean,10.41,8.41,4.25,Myanmar,None,,,,Red,Vivid Red,,Pigeon's Blood,,,8500.0,,,,,,,GRS,,,Vivid Red,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mogok,07/17/2026 06:32:34,False,False,,,Single
VNSA12,Guaranteed Availability,Hong Kong,1156727,Sapphire,Oval,4.83,Eye clean,11.34,8.99,5.41,Sri Lanka,None,,,Natural No Heat Sapphire from Sri Lanka,Blue,Cornflower,,Cornflower Blue,,Cornflower Blue,4500.0,4.83Cts Sri Lanka No Heat Cornflower Blue GRS Oval Shape Pic II.jpg,4.83Cts Sri Lanka No Heat Cornflower Blue GRS Oval Shape Pic III.jpg,4.83Cts Sri Lanka No Heat Cornflower Blue GRS Oval Shape Pic IV.jpg,4.83Cts Sri Lanka No Heat Cornflower Blue GRS Oval Shape Pic I.jpg,,,GRS,GRS2014 -  106328,4.83Cts Sri Lanka No Heat Cornflower Blue GRS Oval Shape.pdf,Corn Flower Blue,Cornflower Blue,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.83Cts Natural Cornflower Blue Sri Lanka No Heat Oval Shape SapphireFor more details WhatsApp Vipul +852-69731885 or WeChat DiamondRepublic,07/17/2026 06:32:34,False,False,,,Single
VNEM159,Not Available,Hong Kong,1137616,Emerald,Pear,13.94,Slightly included,21.0,14.72,8.59,Colombia,Oiling,,,Minor,Green,Vivid Green,Muzo,Vivid Green,,,12000.0,13.94Cts Columbian Emerald Minor Green Gubelin Pear Shape Pic I.jpg,,,,,,Gubelin,18031183,13.94Cts Columbian Emerald Minor Green Gubelin Pear Shape.pdf,Vivid Green Muzo Green,Vivid Green,Vivid Green,,,,,,,,,,,,,,,,,,,,,,,,,False,13.94Cts Natural Columbian Emerald Minor Muzo Gubelin Pear Shape. For more details WhatsApp Vipul +852-69731885 or WeChat DiamondRepublic,07/17/2026 06:32:34,False,False,,,Single
VNRU174,Guaranteed Availability,Hong Kong,1137578,Ruby,Round,2.03,Eye clean,7.63,7.19,3.82,Myanmar,None,,,,Red,Vivid Red,,Pigeon's Blood,,,4500.0,,,,,,,GRS,,,Vivid Red,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Mogok,07/17/2026 06:32:34,False,False,,,Single
VNRU193,Guaranteed Availability,Hong Kong,1137588,Ruby,Oval,3.07,Eye clean,10.13,6.7,5.1,Myanmar,Heated,,,Natural Ruby Heated,Red,Vivid Red,,Pigeon's Blood,,Vivid Red Pigeon's Blood,10000.0,3.07Cts Burma Heat H(1) Vivid Red Guild Oval Shape Pic III.jpg,3.07Cts Burma Heat H(1) Vivid Red Guild Oval Shape Pic IV.jpg,3.07Cts Burma Heat H(1) Vivid Red Guild Oval Shape Pic I.jpg,3.07Cts Burma Heat H(1) Vivid Red Guild Oval Shape Pic II.jpg,3.07Cts Burma Heat H(1) Vivid Red Guild Oval Shape Pic V.jpg,,Other,Guild 75837391,3.07Cts Burma Heat H(1) Vivid Red Guild Oval Shape.pdf,Red,Vivid,Vivid Red Pigeon's Blood,,,,,,,,,,,,,,,,,,,,,,,,,True,3.07Cts Natural Burma Heat Vivid Red Pigeon's Blood Guild Cert Oval Ruby. For more details WhatsApp Vipul +852-69731885 or WeChat DiamondRepublic,07/17/2026 06:32:34,False,False,,,Single
VNSA128D,Guaranteed Availability,Hong Kong,1137619,Sapphire,Oval,2.18,Eye clean,8.3,7.8,4.17,Myanmar,None,,,Burma No Heat,Blue,Deep Royal Blue,,Deep Royal Blue,,Deep Royal Blue,4500.0,,,,,,,GRS,GRS 2016 - 098073,2.18Cts Burma Bawmar No Heat Deep Royal Blue GRS Oval Shape.pdf,Deep Royal Blue,Deep Royal Blue,Deep Royal Blue,Other,,2.18Cts 2.28Cts Burma Bawmar No Heat Deep Royal Blue GRS Oval Shape.pdf,,,,,,,,,,,,,,,,,,,,,,False,2.18Cts + 2.28Cts Burma No Heat Deep Royal Blue Sapphire Pair. For more details WhatsApp +852-69731885 or WeChat DiamondRepublic,07/17/2026 06:32:34,False,False,,,Single
VNSA166,Guaranteed Availability,Hong Kong,1137625,Sapphire,Oval,2.52,Eye clean,8.8,7.83,4.8,Myanmar,None,,,"Burma No Heat ",Blue,Blue,,,,,4500.0,Burma NH Sapphire Pair Pair @.jpg,Burma NH Sapphire Pair Pair 1.jpg,Burma NH Sapphire Pair Pair 2.jpg,Burma NH Sapphire Pair.jpg,,,CDC,CDC 1301307,2.52Cts Burma No Heat Deep Blue CD Oval Shape.pdf,Deep Royal Blue,Deep Royal Blue,Deep Royal Blue,,,,,,,,,,,,,,,,,,,,,,,,,True,2.36Cts + 2.56Cts Burma No Heat Deep Royal Blue Sapphire Pair GRS Cert. For more details WhatsApp Vipul +852-69731885 or WeChat DiamondRepublic,07/17/2026 06:32:34,False,False,,,Single
VNSA191,Guaranteed Availability,Hong Kong,1137637,Sapphire,Oval,15.08,Eye clean,16.76,11.31,9.27,Sri Lanka,None,,,Gorgeous Natural No Heat Vivid Blue Royal Blue Oval Shape Sapphire,Blue,Blue,Vivid Blue,Royal Blue,,Vivid Blue Royal Blue,16000.0,15.08Cts SriLanka NH VB RB GRS Oval Pic IV.jpg,15.08Cts SriLanka NH VB RB GRS Oval Pic I.jpg,15.08Cts SriLanka NH VB RB GRS Oval Pic II.jpg,15.08Cts SriLanka NH VB RB GRS Oval Pic III.jpg,,,GRS,GRS2024-020856,15.08Cts Sri Lanka No Heat Vivid Blue Royal Blue GRS Oval Shape.pdf,Blue,Vivid Blue,Royal Blue,,,,,,,,,,,,,,,,,,,,,,,,,True,Gorgeous 15.08Cts Natural No Heat Vivid Blue Royal Blue Open Color Oval Shape SapphireFor more details WhatsApp +852-69731885 Vipul or WeChat DiamondRepublic,07/17/2026 06:32:34,False,False,,,Single
VNSA128H,Guaranteed Availability,Hong Kong,1137623,Sapphire,Oval,2.36,Eye clean,8.76,7.83,4.35,Myanmar,None,,,"Burma No Heat ",Blue,Deep Royal Blue,,Deep Royal Blue,,Deep Royal Blue,4500.0,,,,,,,GRS,GRS 2016 - 098074,2.36Cts Burma Bawmar No Heat Deep Royal Blue GRS Oval Shape.pdf,Deep Royal Blue,Deep Royal Blue,Deep Royal Blue,,,,,,,,,,,,,,,,,,,,,,,,,False,2.36Cts & 2.52Cts Burma No Heat Deep Royal Blue Sapphire Pack. For more details WhatsApp Vipul +852-69731885 or WeChat DiamondRepublic,07/17/2026 06:32:34,False,False,,,Single
VNSA155,Guaranteed Availability,Hong Kong,1137630,Sapphire,Oval,4.04,Eye clean,9.8,7.76,6.34,Sri Lanka,Heated,,,SUNSET PADPARADCHA,Orange,Pinkish Orange,Padparadcha,SUNSET,,Pinkish Orange,6500.0,4.04Cts Sri Lanka H Pinkish-Orange Sunset Padparadscha GRS Oval Shape Pic I.jpg,4.04Cts Sri Lanka H Pinkish-Orange Sunset Padparadscha GRS Oval Shape Pic II.jpg,,,,,GRS,GRS2019-042981,4.04Cts Sri Lanka H Pinkish-Orange Sunset Padparadscha GRS Oval Shape.pdf,Pinkish Orange,Pinkish Orange,,,,,,,,,,,,,,,,,,,,,,,,,,True,4.04Cts Natural Pardpradcha Sapphire ''Sunset'' Pinkish Orange Oval Shape GRS Certified SapphireFor more details WhatsApp VIpul +852-69731885 or WeChat DiamondRepublic,07/17/2026 06:32:34,False,False,,,Single
AKJ12A,Guaranteed Availability,Hong Kong,1137614,Emerald,Emerald Cut,5.35,Visibly included,10.67,10.53,6.61,Unknown,Oiling,,,,Green,Vivid Green,,,,,4000.0,,,,,,,GRS,,,Vivid Green,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,07/17/2026 06:32:34,False,False,,,Single
AKJ250,Guaranteed Availability,Hong Kong,1137617,Emerald,Emerald Cut,17.35,Visibly included,19.39,16.36,7.6,Unknown,Oiling,,,,Green,Vivid Green,,Vivid Green,,,6000.0,17.35Cts Natural Columbian Emerald Vivid Green Insignificant GRS Emerald Cut New.jpeg.jpg,,,,,,GRS,GRS2016-098298,17.35Cts Natural Columbian Emerald Vivid Green Insignificant GRS Emerald Cut.pdf,Vivid Green,Vivid Green,,,,,,,,,,,,,,,,,,,,,,,,,,True,,07/17/2026 06:32:34,False,False,,,Single
VNRU146,Guaranteed Availability,Hong Kong,1137581,Ruby,Oval,2.45,Eye clean,8.4,7.24,3.86,Myanmar,None,,,Natural No Heat,Red,Deep Red,,,,Red,4500.0,2.45Cts Burma Mogok No Heat Red GRS Oval .jpeg,,,,,,GRS,GRS2017-099342,,Red,Red,Red,,,,,,,,,,,,,,,,,,,,,,,,,True,2.45Cts Natural Burma No Heat Red GRS OvalStone Available in Hong KongFor more details Call/WhatsApp Vipul http://wa.me/85269731885,07/17/2026 06:32:34,False,False,,,Single
VNEM118,Guaranteed Availability,Hong Kong,1137608,Emerald,Emerald Cut,3.19,Eye clean,9.02,8.68,6.03,Unknown,Oiling,,,Minor Oiling,Green,Vivid Green,,,,Vivid Green,10000.0,3.19Cts Columbian Emerald Insignificant Vivid Green GRS Emerald Cut Pic I.jpg,3.19Cts Columbian Emerald Insignificant Vivid Green GRS Emerald Cut Pic II.jpg,,,,,GRS,GRS 2017 - 058592,3.19Cts Columbian Emerald Insignificant Vivid Green GRS Emerald Cut.pdf,Vivid Green,Vivid Green,Vivid Green,,,,,,,,,,,,,,,,,,,,,,,,,True,3.19Cts Natural Columbian Emerald Minor Vivid Green GRS Emerald Cut. For more details WhatsApp Vipul +852-69731885 or WeChat DiamondRepublic,07/17/2026 06:32:34,False,False,,,Single
VNSA128G,Guaranteed Availability,Hong Kong,1137621,Sapphire,Oval,2.29,Eye clean,8.73,8.14,3.89,Myanmar,None,,,,Blue,Royal Blue,,,,,4000.0,,,,,,,GRS,,,Royal Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,07/17/2026 06:32:34,False,False,,,Single
VNRU197,,Hong Kong,1137595,Ruby,Oval,5.25,Eye clean,12.27,9.34,5.02,Myanmar,Heated,,,,Red,Intense Red,,Pigeon's Blood,,,25000.0,5.25Cts Burma Ruby Ring - Side.jpg,5.25Cts Burma Ruby Ring - Front.jpg,,,,,GRS,GRS2022 - 041014,5.25Cts Burma Heat H(a) Vivid Red Pigeon's Blood GRS Oval Shape.pdf,Vivid Red,Vivid Red,Pigeon's Blood,,,,,,,,,,,,,,,,,,,,,,,,,True,5.25Cts Natural Burma Heat Vivid Red Pigeon's Blood Oval Ruby set in Ring with Round Rosecut Diamonds For more details WhatsApp Vipul +852-69731885 or WeChat DiamondRepublic,07/17/2026 06:32:34,False,False,,,Single
VNSA128F,Guaranteed Availability,Hong Kong,1137620,Sapphire,Oval,2.28,Eye clean,8.36,7.87,4.37,Myanmar,None,,,"Burma No Heat ",Blue,Blue,Deep Royal Blue,Deep Royal Blue,,Deep Royal Blue,4500.0,2.18Cts + 2.28Cts Burma No Heat Sapphire Pair.jpeg,2.18Cts 2.28Cts Burma Sapphire Earrings High Resolution.jpeg,2.18Cts 2.28Cts Burma Sapphire Earrings.jpg,2.18Cts + 2.28Cts Burma No Heat Sapphire Pair II.jpeg,,,GRS,GRS 2016 - 098076,2.28Cts Burma Bawmar No Heat Deep Royal Blue GRS Oval Shape.pdf,Deep Royal Blue,Deep Royal Blue,Deep Royal Blue,,,,,,,,,,,,,,,,,,,,,,,,,True,2.18Cts + 2.28Cts Burma No Heat Deep Royal Blue GRS Certified Sapphire Pair. For more details WhatsApp Vipul +852-69731885 or WeChat DiamondRepublic,07/17/2026 06:32:34,False,False,,,Single
VNSA182,Guaranteed Availability,Hong Kong,1137636,Sapphire,Oval,9.28,Eye clean,,,,Unknown,None,,,,Blue,Blue-Pink,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,6x5mm 9pcs,07/17/2026 06:32:34,False,False,,,Single
VNRU122-23,Guaranteed Availability,Hong Kong,1137597,Ruby,Oval,18.01,Visibly included,,,,Myanmar,Heated,,,,Red,Vivid Green,,,,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,3pc Set,07/17/2026 06:32:34,False,False,,,Single
VNRU136,Guaranteed Availability,Hong Kong,1137594,Ruby,Oval,5.15,Visibly included,11.24,9.82,5.6,Unknown,Heated,,,,Red,Red,,,,,5000.0,,,,,,,GRS,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,07/17/2026 06:32:34,False,False,,,Single
VNRU158,Not Available,Hong Kong,1137592,Ruby,Oval,3.94,Eye clean,11.1,9.32,4.43,Myanmar,None,,,Burma (Mogok) No Heat Vivid Red Pigeon's Blood GRS Oval Shape,Red,Vivid Red,Vivid Red,Pigeon's Blood,,Vivid Red Pigeon's Blood,35000.0,3.94Cts Burma NH VR PB OV Ruby Ring II.jpg,3.94Cts Burma NH VR GRS Front.jpg,3.94Cts Burma NH VR GRS.jpg,3.94Cts Burma NH VR PB OV Ruby Ring.jpg,,,GRS,GRS2018 - 038943,3.94Cts Burma Mogok No Heat Vivid Red Pigeon's Blood GRS Oval Shape.pdf,Vivid Red,Vivid Red,Pigeon's Blood,,,,,,,,,,,,,,,,,,,,,,,,,False,3.94Cts Burma (Mogok) No Heat Vivid Red Pigeon's Blood GRS Oval Shape set with Round Rosecut Diamonds in 18K Handmade Ring in Hong KongFor more details WhatsApp Vipul +852-69731885 or WeChat DiamondRepublic,07/17/2026 06:32:34,False,False,,,Single
VNEM117,Guaranteed Availability,Hong Kong,1137604,Emerald,Emerald Cut,2.0,Eye clean,8.67,7.04,4.64,Colombia,Oiling,,,Columbian Insignificant,Green,Vivid Green,,,,Vivid Green,8500.0,2.00Cts Columbian Emerald Insignificant Vivid Green GRS Emerald Cut Pic III.jpg,2.00Cts Columbian Emerald Insignificant Vivid Green GRS Emerald Cut Pic I.jpg,2.00Cts Columbian Emerald Insignificant Vivid Green GRS Emerald Cut Pic II.jpg,,,,GRS,GRS 2017 - 058591,2.00Cts Columbian Emerald Insignificant Vivid Green GRS Emerald Cut.pdf,Green,Vivid,Vivid Green,,,,,,,,,,,,,,,,,,,,,,,,,True,2.00Cts Natural Columbian Vivid Green Insignificant GRS Emerald. For more details WhatsApp Vipul +852-69731885 or WeChat DiamondRepublic,07/17/2026 06:32:34,False,False,,,Single
VNSA130,Guaranteed Availability,Hong Kong,1137638,Sapphire,Oval,20.63,Slightly included,16.8,15.59,9.29,Sri Lanka,None,,,Natural No Heat Intense Blue Sapphire,Blue,Intense,,,,,10000.0,20.63Cts Ceylon NH Sapphire I.jpg,20.63Cts Ceylon NH Sapphire II.jpg,20.63Cts Ceylon NH Sapphire III.jpg,20.63Cts Ceylon NH Sapphire IV.jpg,20.63Cts Ceylon NH Sapphire V.jpg,,Other,Guild 1100446742,20.63Cts Sri Lanka No Heat Intense Blue Guild Cert Cushion Shape 1100446742.pdf,Blue,Intense Blue,Intense Blue,,,,,,,,,,,,,,,,,,,,,,,,,True,Natural No Heat Intense Blue Sapphire. Set with Columbian Emerald leaves in 18K Handmade setting in Hong KongFor more details WhatsApp Vipul +852-69731885 or WeChat DiamondRepublic,07/17/2026 06:32:34,False,False,,,Single
